,ensembl_gene_id,prev_symbol,symbol
154,ENSG00000153086,,ACMSD
155,ENSG00000122729,IREB1,ACO1
156,ENSG00000100412,,ACO2
157,ENSG00000102794,IRG1,ACOD1
158,ENSG00000184227,,ACOT1
159,ENSG00000119673,,ACOT2
160,ENSG00000177465,,ACOT4
161,ENSG00000205669,C14orf42,ACOT6
162,ENSG00000097021,,ACOT7
163,ENSG00000101473,PTE1,ACOT8
164,ENSG00000123130,,ACOT9
165,ENSG00000162390,THEA,ACOT11
166,ENSG00000172497,,ACOT12
167,ENSG00000112304,THEM2,ACOT13
168,ENSG00000161533,,ACOX1
169,ENSG00000168306,,ACOX2
170,ENSG00000087008,,ACOX3
171,ENSG00000153093,,ACOXL
172,ENSG00000143727,,ACP1
173,ENSG00000134575,,ACP2
174,ENSG00000014257,ACPP,ACP3
175,ENSG00000142513,ACPT,ACP4
176,ENSG00000102575,,ACP5
177,ENSG00000162836,,ACP6
178,ENSG00000183760,,ACP7
179,ENSG00000100312,,ACR
180,ENSG00000111644,,ACRBP
181,ENSG00000134940,,ACRV1
182,ENSG00000103740,,ACSBG1
183,ENSG00000130377,,ACSBG2
184,ENSG00000167107,,ACSF2
185,ENSG00000176715,,ACSF3
186,ENSG00000151726,FACL2,ACSL1
187,ENSG00000123983,FACL3,ACSL3
188,ENSG00000068366,FACL4|MRX63|MRX68,ACSL4
189,ENSG00000197142,FACL5,ACSL5
190,ENSG00000164398,FACL6,ACSL6
191,ENSG00000166743,BUCS1,ACSM1
192,ENSG00000183747,ACSM2,ACSM2A
193,ENSG00000066813,ACSM2,ACSM2B
194,ENSG00000005187,SAH,ACSM3
195,ENSG00000215009,,ACSM4
196,ENSG00000183549,,ACSM5
197,ENSG00000173124,C10orf129,ACSM6
198,ENSG00000154930,ACAS2L,ACSS1
199,ENSG00000131069,ACAS2,ACSS2
200,ENSG00000111058,,ACSS3
201,ENSG00000143632,ACTA,ACTA1
202,ENSG00000107796,,ACTA2
203,ENSG00000075624,,ACTB
204,ENSG00000169067,,ACTBL2
205,ENSG00000159251,ACTC,ACTC1
206,ENSG00000184009,ACTG|DFNA20|DFNA26,ACTG1
207,ENSG00000163017,ACTL3|ACTA3,ACTG2
208,ENSG00000136518,,ACTL6A
209,ENSG00000077080,ACTL6,ACTL6B
210,ENSG00000187003,,ACTL7A
211,ENSG00000148156,,ACTL7B
212,ENSG00000117148,,ACTL8
213,ENSG00000181786,,ACTL9
214,ENSG00000288649,C20orf134,ACTL10
215,ENSG00000072110,,ACTN1
216,ENSG00000077522,,ACTN2
217,ENSG00000248746,,ACTN3
218,ENSG00000130402,FSGS1,ACTN4
219,ENSG00000138107,,ACTR1A
220,ENSG00000115073,CTRN2,ACTR1B
221,ENSG00000138071,,ACTR2
222,ENSG00000115091,,ACTR3
223,ENSG00000133627,,ACTR3B
224,ENSG00000106526,,ACTR3C
225,ENSG00000101442,,ACTR5
226,ENSG00000075089,,ACTR6
227,ENSG00000113812,,ACTR8
228,ENSG00000131966,,ACTR10
229,ENSG00000123165,,ACTRT1
230,ENSG00000169717,,ACTRT2
231,ENSG00000184378,,ACTRT3
232,ENSG00000115170,ACVRLK2,ACVR1
233,ENSG00000135503,ACVRLK4,ACVR1B
234,ENSG00000123612,,ACVR1C
235,ENSG00000121989,ACVR2,ACVR2A
236,ENSG00000114739,,ACVR2B
237,ENSG00000139567,ACVRLK1|ORW2,ACVRL1
238,ENSG00000243989,,ACY1
239,ENSG00000132744,,ACY3
240,ENSG00000119640,,ACYP1
241,ENSG00000170634,,ACYP2
242,ENSG00000196839,,ADA
243,ENSG00000093072,IDGFL|CECR1,ADA2
244,ENSG00000164113,,ADAD1
245,ENSG00000140955,,ADAD2
246,ENSG00000168803,,ADAL
247,ENSG00000104755,FTNB,ADAM2
248,ENSG00000069206,,ADAM7
249,ENSG00000151651,,ADAM8
250,ENSG00000168615,CORD9,ADAM9
251,ENSG00000137845,,ADAM10
252,ENSG00000073670,MDC,ADAM11
253,ENSG00000148848,,ADAM12
254,ENSG00000143537,,ADAM15
255,ENSG00000151694,TACE,ADAM17
256,ENSG00000168619,,ADAM18
257,ENSG00000135074,,ADAM19
258,ENSG00000134007,,ADAM20
259,ENSG00000139985,,ADAM21
260,ENSG00000008277,,ADAM22
261,ENSG00000114948,,ADAM23
262,ENSG00000042980,,ADAM28
263,ENSG00000168594,,ADAM29
264,ENSG00000134249,,ADAM30
265,ENSG00000197140,,ADAM32
266,ENSG00000149451,C20orf153,ADAM33
267,ENSG00000134028,,ADAMDEC1
268,ENSG00000154734,,ADAMTS1
269,ENSG00000087116,,ADAMTS2
270,ENSG00000156140,,ADAMTS3
271,ENSG00000158859,,ADAMTS4
272,ENSG00000154736,,ADAMTS5
273,ENSG00000049192,,ADAMTS6
274,ENSG00000136378,,ADAMTS7
275,ENSG00000134917,,ADAMTS8
276,ENSG00000163638,,ADAMTS9
277,ENSG00000142303,,ADAMTS10
278,ENSG00000151388,,ADAMTS12
279,ENSG00000160323,C9orf8,ADAMTS13
280,ENSG00000138316,,ADAMTS14
