,gene_label
0,ENSG00000134250
1,ENSG00000185177
2,ENSG00000164362
3,ENSG00000198625
4,ENSG00000113360
5,ENSG00000148400
6,ENSG00000147050
7,ENSG00000174775
8,ENSG00000165699
9,ENSG00000065361
10,ENSG00000101972
11,ENSG00000068078
12,ENSG00000124762
