gene
ENSG00000198964
ENSG00000137691
ENSG00000101292
ENSG00000205758
ENSG00000213024
ENSG00000173821
ENSG00000112964
ENSG00000144635
ENSG00000146910
ENSG00000128709
ENSG00000164659
ENSG00000214456
ENSG00000044574
ENSG00000113924
ENSG00000157219
ENSG00000005844
ENSG00000046889
ENSG00000178460
ENSG00000107371
ENSG00000164850
ENSG00000175520
ENSG00000138741
ENSG00000078246
ENSG00000050820
ENSG00000183117
ENSG00000136859
ENSG00000148337
ENSG00000142197
ENSG00000183605
ENSG00000153250
ENSG00000198464
ENSG00000244405
ENSG00000221968
ENSG00000197483
ENSG00000036828
ENSG00000082641
ENSG00000066185
ENSG00000107249
ENSG00000126391
ENSG00000198707
ENSG00000133858
ENSG00000103264
ENSG00000033100
ENSG00000144736
ENSG00000124939
ENSG00000138434
ENSG00000247626
ENSG00000077063
ENSG00000164050
ENSG00000170017
ENSG00000151914
ENSG00000039537
ENSG00000139436
ENSG00000112619
ENSG00000188848
ENSG00000276040
ENSG00000143643
ENSG00000145147
ENSG00000112343
ENSG00000111837
ENSG00000120280
ENSG00000164548
ENSG00000070404
ENSG00000225950
ENSG00000159398
ENSG00000116996
ENSG00000181072
ENSG00000127328
ENSG00000196418
ENSG00000182253
ENSG00000072952
ENSG00000130695
ENSG00000110719
ENSG00000100325
ENSG00000152784
ENSG00000140961
ENSG00000152377
ENSG00000177272
ENSG00000197415
ENSG00000103502
ENSG00000171992
ENSG00000170748
ENSG00000167085
ENSG00000168701
ENSG00000221931
ENSG00000157927
ENSG00000106344
ENSG00000090776
ENSG00000072657
ENSG00000130303
ENSG00000204952
ENSG00000092098
ENSG00000198963
ENSG00000176165
ENSG00000160917
ENSG00000134371
ENSG00000158604
ENSG00000198099
ENSG00000105429
ENSG00000125351
ENSG00000048052
ENSG00000168779
ENSG00000141542
ENSG00000083097
ENSG00000172366
ENSG00000156150
ENSG00000138379
ENSG00000213672
ENSG00000105227
ENSG00000168298
ENSG00000145390
ENSG00000196944
ENSG00000108379
ENSG00000125845
ENSG00000177673
ENSG00000147576
ENSG00000182793
ENSG00000261456
ENSG00000215397
ENSG00000168813
ENSG00000163291
ENSG00000177489
ENSG00000134186
ENSG00000165643
ENSG00000179913
ENSG00000015532
ENSG00000047849
ENSG00000197321
ENSG00000176601
ENSG00000168566
ENSG00000185869
ENSG00000139155
ENSG00000277586
ENSG00000124493
ENSG00000198739
ENSG00000107581
ENSG00000167780
ENSG00000160447
ENSG00000124467
ENSG00000164039
ENSG00000165929
ENSG00000174738
ENSG00000126767
ENSG00000143110
ENSG00000156194
ENSG00000142856
ENSG00000215182
ENSG00000181408
ENSG00000187994
ENSG00000110218
ENSG00000215853
ENSG00000143297
ENSG00000149972
ENSG00000141255
ENSG00000075218
ENSG00000196663
ENSG00000079689
ENSG00000076650
ENSG00000116005
ENSG00000096654
ENSG00000101890
ENSG00000179299
ENSG00000179008
ENSG00000101752
ENSG00000168439
ENSG00000197223
ENSG00000139354
ENSG00000138375
ENSG00000115750
ENSG00000141577
ENSG00000117682
ENSG00000183569
ENSG00000101400
ENSG00000106128
ENSG00000169972
ENSG00000266524
ENSG00000133101
ENSG00000213918
ENSG00000133703
ENSG00000006652
ENSG00000180745
ENSG00000106479
ENSG00000074370
ENSG00000171227
ENSG00000168556
ENSG00000130724
ENSG00000112769
ENSG00000115306
ENSG00000078114
