Unnamed: 0.1,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000198049,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1691746035469932,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088756632083384,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0517067154348818,-0.1906656975212485,0,0.5968311919008575,1.0,1.1034448153020302
ENSG00000198113,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5828182177870054,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198131,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0178365566978357,-0.1906656975212485,0,1.4207497849273414,1.0,-0.2159661787699051
ENSG00000198133,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2101019279603539,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198160,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2912133541665507,-0.1906656975212485,0,0.5968311919008575,1.0,1.1034448153020302
ENSG00000198169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0515627847917832,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198173,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0029198849946692,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198176,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1962809091990593,5.213187028167935,0,0.5968311919008575,1.0,2.4228558093739654
ENSG00000198189,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2280868332032755,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000198198,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.1290347316461146,-0.1906656975212485,0,0.5968311919008575,0.3333333333333333,1.1034448153020302
ENSG00000198205,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0344559273449942,-0.1906656975212485,0,0.5968311919008575,1.0,1.1034448153020302
ENSG00000198208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0197604535821696,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000198216,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0398415131825305,2.511260665323343,0,3.0685869709803093,0.8,-0.2159661787699051
