,Unnamed: 0.1,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,label,PPI
2088,ENSG00000106336,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.122146263231616,-0.16956080620435493,0,0.2584164943835993,1.0,0,-0.30293515748003674
2089,ENSG00000106344,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.227160919057215,-0.16956080620435493,0,-0.5929300292292156,0.0,0,-0.30293515748003674
2090,ENSG00000106346,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0719807336305697,-0.16956080620435493,0,1.1097630179964142,0.5,0,-0.30293515748003674
2091,ENSG00000106348,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5322370665888676,-0.16956080620435493,0,-0.5929300292292156,0.0,0,-0.30293515748003674
2092,ENSG00000106355,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5332562517103101,-0.16956080620435493,0,0.2584164943835993,1.0,0,-0.30293515748003674
2093,ENSG00000106366,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1073123170982084,4.3915549106214575,0,-0.5929300292292156,0.0,0,-0.30293515748003674
2094,ENSG00000106367,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.4986191295967863,-0.16956080620435493,0,0.2584164943835993,0.5,0,0.6989589638931407
2095,ENSG00000106384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3050477717060051,-0.16956080620435493,0,-0.5929300292292156,0.0,0,-0.30293515748003674
2096,ENSG00000106397,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.2219826355326109,-0.16956080620435493,0,0.2584164943835993,1.0,0,0.6989589638931407
2097,ENSG00000106404,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2208099917596153,-0.16956080620435493,0,0.2584164943835993,0.0,0,-0.30293515748003674
2098,ENSG00000106410,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0213022855822936,-0.16956080620435493,0,-0.5929300292292156,0.0,0,-0.30293515748003674
2099,ENSG00000106460,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1641005268386268,-0.16956080620435493,0,0.2584164943835993,1.0,0,-0.30293515748003674
2100,ENSG00000106462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8770512231331339,-0.16956080620435493,0,-0.5929300292292156,0.0,0,-0.30293515748003674
2101,ENSG00000106479,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5180853752686114,-0.16956080620435493,0,0.2584164943835993,1.0,0,-0.30293515748003674
2102,ENSG00000106511,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.318537582983279,-0.16956080620435493,0,0.2584164943835993,1.0,0,-0.30293515748003674
2103,ENSG00000106524,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.1789970874391699,-0.16956080620435493,0,0.2584164943835993,1.0,0,1.7008530852663182
2104,ENSG00000106536,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0140128006958225,-0.16956080620435493,0,1.1097630179964142,0.5,0,-0.30293515748003674
