gene_name,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000115504,0.333333333,0.333333333,0.333333333,0,0,0,0,0.097683989,-0.223707831,0,0.205072971,0.5,-0.303404999
ENSG00000115507,0.5,0,0.5,0,0,0,0,0.807996899,-0.223707831,0,0.205072971,0.5,1.582905016
ENSG00000115523,0,0,0.5,0,0,0,0,0.098165962,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000115524,0.2,0,0.6,0,0.2,0,0,0.04974959,-0.223707831,0,1.776241244,0.75,-0.303404999
ENSG00000115525,1,0,0,0,0,0,0,0.535756305,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000115539,0,0,1,0,0,0,0,0.325779887,-0.223707831,0,0.205072971,1,0.639750009
ENSG00000115548,0.333333333,0,0.666666667,0,0,0,0,0.054545015,-0.223707831,0,0.990657107,0.666666667,0.639750009
ENSG00000115556,0,0,1,0,0,0,0,0.32411674,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000115568,0.222222222,0.111111111,0.555555556,0.111111111,0,0,0,0.165753883,-0.223707831,0,3.347409517,0.714285714,-0.303404999
ENSG00000115590,0,0,1,0,0,0,0,0.264592452,3.400840925,1,0.205072971,1,-0.303404999
ENSG00000115592,0,0,0.5,0,0,0,0,0.035484075,1.588566547,0,0.205072971,1,0.639750009
ENSG00000115593,1,0,0,0,0,0,0,0.179318784,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000115594,0,0,0,0,0,0,0,0.264437922,3.400840925,0,-0.580511166,0,-0.303404999
ENSG00000115596,0.333333333,0,0.666666667,0,0,0,0,0.400670637,1.588566547,0,0.990657107,0.666666667,0.639750009
ENSG00000115598,0,0,1,0,0,0,0,0.432325195,1.588566547,0,0.205072971,1,-0.303404999
ENSG00000115602,0,0,1,0,0,0,0,0.337633525,1.588566547,0,0.205072971,1,-0.303404999
ENSG00000115607,0.75,0,0.25,0,0,0,0,0.013752328,1.588566547,0,0.205072971,0.25,-0.303404999
ENSG00000115648,0.666666667,0,0.333333333,0,0,0,0,0.939926008,-0.223707831,0,0.205072971,0.333333333,0.639750009
ENSG00000115649,0,1,0,0,0,0,0,0.182575504,-0.223707831,0,0.205072971,0,-0.303404999
ENSG00000115657,0,0,1,0,0,0,0,0.268551246,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000115661,0,0,0.5,0,0,0,0,0.20445958,-0.223707831,0,0.205072971,1,1.582905016
ENSG00000115665,0,0,1,0,0,0,0,0.060745879,-0.223707831,0,1.776241244,1,-0.303404999
ENSG00000115677,0.25,0,0.5,0,0.25,0,0,0.340657409,-0.223707831,0,0.205072971,0.666666667,-0.303404999
ENSG00000115687,0,0,1,0,0,0,0,0.365427772,-0.223707831,0,0.990657107,1,0.639750009
ENSG00000115694,0,0,1,0,0,0,0,0.233063397,-0.223707831,0,0.205072971,1,2.526060024
ENSG00000115705,1,0,0,0,0,0,0,0.320963232,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000115718,0.25,0,0.5,0.25,0,0,0,0.27583906,-0.223707831,0,1.776241244,0.666666667,0.639750009
ENSG00000115750,1,0,0,0,0,0,0,0.183189908,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000115758,0,0,1,0,0,0,0,0.637639946,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000115760,0.25,0,0.5,0,0,0,0,0.10575391,-0.223707831,0,0.990657107,0.666666667,0.639750009
ENSG00000115761,0,0,1,0,0,0,0,0.203776038,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000115808,0,0,1,0,0,0,0,0.134880573,-0.223707831,0,0.205072971,1,3.469215031
ENSG00000115816,0.5,0,0.5,0,0,0,0,0.075096474,-0.223707831,0,0.205072971,0.5,-0.303404999
ENSG00000115828,0,0,1,0,0,0,0,0.334335312,-0.223707831,0,0.205072971,1,-0.303404999
ENSG00000115839,0.5,0,0.5,0,0,0,0,0.339978604,-0.223707831,0,0.990657107,0.5,-0.303404999
ENSG00000115840,0,0,1,0,0,0,0,0.565207134,-0.223707831,0,0.990657107,1,-0.303404999
ENSG00000115850,0.4,0,0.6,0,0,0,0,0.00970966,-0.223707831,0,1.776241244,0.6,-0.303404999
ENSG00000115896,0,0,1,0,0,0,0,0.974693682,-0.223707831,0,1.776241244,1,0.639750009
ENSG00000115902,0,0,0,0,0,0,0,0.374853861,-0.223707831,0,-0.580511166,0,-0.303404999
ENSG00000115904,0.25,0.25,0.5,0,0,0,0,0.37290802,12.46221281,1,0.990657107,0.666666667,4.412370039
ENSG00000115919,0,1,0,0,0,0,0,0.015878653,-0.223707831,0,0.205072971,0,0.639750009
